address,lat,long,cluster_label
"Oei Tiong Ham Park, Singapore",1.3152800000000298,103.79389000000003,2
"Keppel Bay View, Singapore",1.268463575192569,103.81437526216126,-1
"Irrawaddy Road, Singapore",1.3231906987919937,103.8456706660088,2
"Lakeside Drive, Singapore",1.342661422165332,103.720145775943,0
"Jalan Rajah, Singapore",1.3275257642422853,103.85242415536388,5
"Sophia Road, Singapore",1.3025363480048475,103.84660618137012,5
"Tong Watt Road, Singapore",1.2930420488721497,103.84017939319844,-1
"Taman Warna, Singapore",1.310199415419845,103.79813401840356,2
"West Coast Road, Singapore",1.3116310720008115,103.75660241340712,2
"Bukit Timah Road, Singapore",1.3355635726825812,103.7843280580905,-1
"Farrer Road, Singapore",1.311164298021336,103.80364622302314,0
"Paterson Road, Singapore",1.3013316085590778,103.82938350349056,-1
"Essex Road, Singapore",1.317190175434523,103.84512577638893,2
"Mount Sinai Drive, Singapore",1.3183384556099504,103.77928089172369,0
"Jalan Hajijah, Singapore",1.3128912687917274,103.9357148583998,0
"Balestier Road, Singapore",1.3186725041420255,103.854713636667,5
"Robertson Quay, Singapore",1.2910116241881366,103.8376115571278,-1
"Geylang East Avenue , Singapore",1.3171292453987302,103.88537361434504,2
"Telok Kurau Road, Singapore",1.312485486140086,103.91078142463982,-1
"Hillside Drive, Singapore",1.3573366440878778,103.8778863206976,-1
"Meyappa Chettiar Road, Singapore",1.3309250392283942,103.8676230480909,5
"Mount Sinai Rise, Singapore",1.3154012154628634,103.77861174012016,2
"Dover Rise, Singapore",1.3048438239612103,103.78484756126608,4
"Foo Kim Lin Road, Singapore",1.3286849987362763,103.906901367066,2
"Niven Road, Singapore",1.3030796144903949,103.84952779812112,5
"Pasir Panjang Hill, Singapore",1.2812271897542402,103.78582186849616,4
"Petain Road, Singapore",1.3123032863553767,103.85799133654552,2
"Punggol Central, Singapore",1.4064148641090886,103.89726771421816,-1
"Leonie Hill, Singapore",1.2982343710895536,103.83171297402583,2
"Kallang Road, Singapore",1.3097385093655916,103.86791774092558,0
"Upper Changi Road East, Singapore",1.348723644847405,103.96360266681664,0
"Buckley Road, Singapore",1.3183713530892216,103.84070703820602,2
"Jurong West Central , Singapore",1.3430805777934895,103.70573828212002,-1
"Canberra Drive, Singapore",1.4451860706598507,103.82598589511878,2
"Walshe Road, Singapore",1.3125459999178184,103.82753670882136,-1
"Bencoolen Street, Singapore",1.300047342628928,103.85130184964513,5
"Gateway Drive, Singapore",1.3359179382811883,103.74126368565824,5
"Tanah Merah Kechil Link, Singapore",1.328201441770066,103.9452685517774,2
"Edgedale Plains, Singapore",1.3983243847880555,103.90697406713498,-1
"Ocean Drive, Singapore",1.2491423243593212,103.84671363736273,0
"Lim Tua Tow Road, Singapore",1.3546595213645092,103.87622303357004,1
"Clemenceau Avenue, Singapore",1.290382245674703,103.84224697367652,-1
"West Coast Crescent, Singapore",1.297926868179803,103.7657030757164,0
"Jalan Bukit Ho Swee, Singapore",1.2872430876541558,103.830793793894,-1
"Stevens Road, Singapore",1.32017782950782,103.82544574505904,3
"Jalan Jurong Kechil, Singapore",1.3418897845861726,103.7710253055352,2
"The Knolls, Singapore",1.2494800000000623,103.82437000000004,-1
"Club Street, Singapore",1.2824700000000462,103.84633000000008,4
"Moulmein Rise, Singapore",1.3189362407679863,103.84750950946002,2
"Wolskel Road, Singapore",1.3469791861962253,103.8696543676566,2
"Ridgewood Close, Singapore",1.3173464226151594,103.77823278949512,0
"Beatty Road, Singapore",1.3139792384858533,103.8585086960286,5
"Woodlands Road, Singapore",1.4233352334286122,103.75745247253174,3
"Lorong Sarhad, Singapore",1.2804754479342733,103.78804044562656,4
"Paterson Hill, Singapore",1.3008492229504562,103.82932915844438,2
"Kim Keat Road, Singapore",1.3267063765765863,103.85494431452226,2
"Jalan Loyang Besar, Singapore",1.3786835379714903,103.96086723977376,0
"Jalan Mutiara, Singapore",1.2965512174361289,103.8284240064863,2
"Yio Chu Kang Road, Singapore",1.370015803008525,103.87475425280084,2
"Keppel Bay Drive, Singapore",1.2657416393307117,103.81621402197308,0
"Pine Grove, Singapore",1.3181165518789155,103.77482969489635,0
"Jervois Close, Singapore",1.2927346709797234,103.82435918868744,2
"Tomlinson Road, Singapore",1.3043320510371537,103.82580674666448,-1
"Choa Chu Kang North , Singapore",1.3919372223373725,103.74647558250196,0
"Hillview Rise, Singapore",1.3624873998998135,103.76389506647983,2
"Anchorvale Crescent, Singapore",1.3985408043895298,103.89337167988003,2
"Tan Quee Lan Street, Singapore",1.2984525441650518,103.85674213704502,4
