,address,lat,long
369,"Jalan Membina, Singapore",1.2833538483436258,103.82662258642165
370,"Robin Drive, Singapore",1.3189668996228838,103.82780153919907
371,"Bukit Batok East Avenue , Singapore",1.3513218111080672,103.75644626913318
372,"Chapel Road, Singapore",1.3060430024383416,103.90774990751471
373,"Yan Kit Road, Singapore",1.2759280960514572,103.8418223767581
374,"Pearl, Singapore",1.2904100000000653,103.85211000000004
375,"Balmoral Park, Singapore",1.3160443624538003,103.82816259598295
376,"Nassim Hill, Singapore",1.306391941089335,103.82232780808613
377,"Compassvale Road, Singapore",1.3917973392787615,103.89771191773804
378,"Rosewood Drive, Singapore",1.4276645441912765,103.78508190534389
379,"Everitt Road, Singapore",1.3113086824913174,103.9037004842841
380,"Kim Seng Walk, Singapore",1.2947513965840494,103.8313538241995
381,"Eng Hoon Street, Singapore",1.2837504926891146,103.83418770028965
382,"Jalan Bunga Rampai, Singapore",1.339257935175682,103.88278435815678
383,"Oxford Road, Singapore",1.3157221021873868,103.85269277592782
384,"King Albert Park, Singapore",1.3344400000000292,103.77972000000005
385,"Wilkie Terrace, Singapore",1.3025920518220317,103.84894679945378
386,"Taman Serasi, Singapore",1.308363549554312,103.81954732756837
387,"Mountbatten Road, Singapore",1.3025481935136725,103.89817065740849
388,"Sengkang East Avenue, Singapore",1.3867492830248804,103.89359740994644
389,"Kovan Rise, Singapore",1.3576567132760147,103.88072598906268
390,"Upper Paya Lebar Road, Singapore",1.3432946639973373,103.88277137157795
391,"Shan Road, Singapore",1.3249666739557753,103.84673968114937
392,"Leedon Road, Singapore",1.3158987511808582,103.79840131691437
393,"Fernhill Crescent, Singapore",1.3132554937016077,103.82433400565215
394,"Mariam Way, Singapore",1.3606777111278114,103.96875700770792
395,"Bright Hill Drive, Singapore",1.3602833605383828,103.83263259992493
396,"Tanjong Katong Road, Singapore",1.300340141671856,103.89714525969337
397,"Geylang Road, Singapore",1.3132860253429204,103.88308085125662
398,"Wishart Road, Singapore",1.2702993521746964,103.8137110784422
399,"Carlisle Road, Singapore",1.3140154954969177,103.84846870970357
400,"Orange Grove Road, Singapore",1.3081123593098427,103.82809807377429
401,"Bedok Reservoir View, Singapore",1.3372707019313186,103.93531896653565
402,"Trevose Crescent, Singapore",1.3250654008361615,103.8248948860208
403,"Upper Cross Street, Singapore",1.2852512084695775,103.84354366886512
404,"New Bridge Road, Singapore",1.2832094177159332,103.84268510208881
405,"Upper Thomson Road, Singapore",1.3456205967312274,103.8379774122463
406,"Simon Lane, Singapore",1.363222481767013,103.88440833307226
