pk,category,subid,main_category
81,Cocktail Bar,4bf58dd8d48988d11e941735,Nightlife Spot
81,Japanese Restaurant,4bf58dd8d48988d111941735,Food
81,Bakery,4bf58dd8d48988d16a941735,Food
81,Coffee Shop,4bf58dd8d48988d1e0931735,Food
81,Japanese Restaurant,4bf58dd8d48988d111941735,Food
81,Bakery,4bf58dd8d48988d16a941735,Food
81,Ramen Restaurant,55a59bace4b013909087cb24,Food
81,Hotel,4bf58dd8d48988d1fa931735,Not A Match
81,Bakery,4bf58dd8d48988d16a941735,Food
81,Coffee Shop,4bf58dd8d48988d1e0931735,Food
81,Japanese Restaurant,4bf58dd8d48988d111941735,Food
81,Bakery,4bf58dd8d48988d16a941735,Food
81,Restaurant,4bf58dd8d48988d1c4941735,Food
81,Soba Restaurant,55a59bace4b013909087cb27,Food
81,Ramen Restaurant,55a59bace4b013909087cb24,Food
81,Gym / Fitness Center,4bf58dd8d48988d175941735,Outdoors & Recreation
81,Coffee Shop,4bf58dd8d48988d1e0931735,Food
81,Food Court,4bf58dd8d48988d120951735,Food
81,Japanese Restaurant,4bf58dd8d48988d111941735,Food
81,Dessert Shop,4bf58dd8d48988d1d0941735,Food
81,Mosque,4bf58dd8d48988d138941735,Not A Match
81,Kebab Restaurant,5283c7b4e4b094cb91ec88d7,Food
81,Seafood Restaurant,4bf58dd8d48988d1ce941735,Food
81,Japanese Restaurant,4bf58dd8d48988d111941735,Food
82,Snack Place,4bf58dd8d48988d1c7941735,Food
82,Miscellaneous Shop,4bf58dd8d48988d1ff941735,Shop & Service
82,BBQ Joint,4bf58dd8d48988d1df931735,Food
82,Coffee Shop,4bf58dd8d48988d1e0931735,Food
82,Bubble Tea Shop,52e81612bcbc57f1066b7a0c,Food
82,Snack Place,4bf58dd8d48988d1c7941735,Food
82,Coffee Shop,4bf58dd8d48988d1e0931735,Food
82,Supermarket,52f2ab2ebcbc57f1066b8b46,Shop & Service
82,Burger Joint,4bf58dd8d48988d16c941735,Food
82,Bakery,4bf58dd8d48988d16a941735,Food
82,Hobby Shop,4bf58dd8d48988d1fb941735,Shop & Service
82,Coffee Shop,4bf58dd8d48988d1e0931735,Food
82,Ramen Restaurant,55a59bace4b013909087cb24,Food
82,Fast Food Restaurant,4bf58dd8d48988d16e941735,Food
82,Coffee Shop,4bf58dd8d48988d1e0931735,Food
82,Sandwich Place,4bf58dd8d48988d1c5941735,Food
82,Japanese Restaurant,4bf58dd8d48988d111941735,Food
82,Bubble Tea Shop,52e81612bcbc57f1066b7a0c,Food
82,Sushi Restaurant,4bf58dd8d48988d1d2941735,Food
82,Dessert Shop,4bf58dd8d48988d1d0941735,Food
82,Japanese Restaurant,4bf58dd8d48988d111941735,Food
82,Convenience Store,4d954b0ea243a5684a65b473,Shop & Service
82,Frozen Yogurt Shop,512e7cae91d4cbb4e5efe0af,Food
82,Snack Place,4bf58dd8d48988d1c7941735,Food
82,Pharmacy,4bf58dd8d48988d10f951735,Shop & Service
82,Multiplex,4bf58dd8d48988d180941735,Arts & Entertainment
82,Gym / Fitness Center,4bf58dd8d48988d175941735,Outdoors & Recreation
82,Shopping Mall,4bf58dd8d48988d1fd941735,Shop & Service
82,Pizza Place,4bf58dd8d48988d1ca941735,Food
82,Food Court,4bf58dd8d48988d120951735,Food
